,reqnum,unitname,attnum,status
244,2146,D00348398,1,0
245,2146,D00348399,1,0
246,2146,D00348400,2,0
247,2146,D00348401,2,0
248,2146,D00348402,1,0
249,2146,D00348403,1,0
250,2146,D00348404,2,0
251,2146,D00348405,2,0
252,2146,D00348406,1,0
253,2146,D00348407,2,0
254,2146,D00348408,1,0
255,2146,D00348409,1,0
256,2146,D00348410,2,0
257,2146,D00348411,1,0
258,2146,D00348412,1,0
259,2146,D00348413,1,0
260,2146,D00348414,1,0
261,2146,D00348415,1,0
262,2146,D00348416,2,0
263,2146,D00348417,2,0
264,2146,D00348418,1,0
265,2146,D00348419,1,0
266,2146,D00348420,1,0
267,2146,D00348421,1,0
268,2146,D00348422,1,0
269,2146,D00348423,1,0
270,2146,D00348424,1,0
271,2146,D00348425,1,0
272,2146,D00348426,1,0
273,2146,D00348427,1,0
274,2146,D00348428,1,0
275,2146,D00348429,1,0
276,2146,D00348430,1,0
277,2146,D00348431,1,0
278,2146,D00348432,1,0
279,2146,D00348433,1,0
280,2146,D00348434,1,0
281,2146,D00348436,1,0
282,2146,D00348437,1,0
283,2146,D00348438,1,0
284,2146,D00348439,1,0
285,2146,D00348440,1,0
286,2146,D00348441,1,0
287,2146,D00348442,1,0
288,2146,D00348443,1,0
289,2146,D00348448,1,0
290,2146,D00348449,1,0
291,2146,D00348450,1,0
292,2146,D00348452,1,0
293,2146,D00348453,1,0
294,2146,D00348454,1,0
295,2146,D00348455,1,0
296,2146,D00348456,1,0
297,2146,D00348457,1,0
298,2146,D00348458,1,0
299,2146,D00348459,1,0
300,2146,D00348460,1,0
301,2146,D00348461,1,0
302,2146,D00348462,1,0
303,2146,D00348463,1,0
304,2146,D00348464,1,0
305,2146,D00348465,1,0
306,2146,D00348466,1,0
307,2146,D00348467,1,0
308,2146,D00348468,1,0
309,2146,D00348469,1,0
310,2146,D00348470,1,0
311,2146,D00348471,1,0
312,2146,D00348472,2,0
313,2146,D00348473,1,0
314,2146,D00348474,1,0
315,2146,D00348475,1,0
316,2146,D00348476,1,0
317,2146,D00348477,1,0
318,2146,D00348478,1,0
319,2146,D00348479,1,0
320,2146,D00348480,1,0
321,2146,D00348481,1,0
322,2146,D00348482,1,0
323,2146,D00348483,1,0
324,2146,D00348484,1,0
325,2146,D00348485,1,0
326,2146,D00348486,1,0
327,2146,D00348487,1,0
328,2146,D00348488,1,0
329,2146,D00348489,1,0
330,2146,D00348490,1,0
331,2146,D00348491,1,0
332,2146,D00348492,1,0
333,2146,D00348493,1,0
334,2146,D00348494,1,0
335,2146,D00348495,1,0
336,2146,D00348497,1,0
337,2146,D00348498,1,0
338,2146,D00348499,1,0
339,2146,D00348500,1,0
340,2146,D00348501,1,0
341,2146,D00348503,1,0
342,2146,D00348504,1,0
343,2146,D00348505,1,0
344,2146,D00348506,1,0
345,2146,D00348507,1,0
346,2146,D00348509,1,0
347,2146,D00348510,1,0
348,2146,D00348511,1,0
349,2146,D00348512,1,0
350,2146,D00348513,1,0
351,2146,D00348805,1,0
352,2146,D00348806,1,0
353,2146,D00348807,1,0
354,2146,D00348808,1,0
355,2146,D00348809,1,0
356,2146,D00348810,1,0
357,2146,D00348811,1,0
358,2146,D00348812,1,0
359,2146,D00348813,1,0
360,2146,D00348814,1,0
361,2146,D00348815,1,0
362,2146,D00348816,1,0
363,2146,D00348817,1,0
364,2146,D00348818,1,0
365,2146,D00348819,1,0
366,2146,D00348820,1,0
367,2146,D00348821,1,0
368,2146,D00348822,1,0
369,2146,D00348823,1,0
370,2146,D00348824,1,0
371,2146,D00348825,1,0
372,2146,D00348826,1,0
373,2146,D00348827,1,0
374,2146,D00348828,1,0
375,2146,D00348829,1,0
376,2146,D00348830,1,0
377,2146,D00348831,1,0
378,2146,D00348832,1,0
379,2146,D00348833,1,0
380,2146,D00348834,1,0
381,2146,D00348835,1,0
382,2146,D00348836,1,0
383,2146,D00348837,1,0
384,2146,D00348838,1,0
385,2146,D00348839,1,0
386,2146,D00348840,1,0
387,2146,D00348841,1,0
388,2146,D00348842,1,0
389,2146,D00348843,1,0
390,2146,D00348844,1,0
391,2146,D00348845,1,0
392,2146,D00348846,1,0
393,2146,D00348847,1,0
394,2146,D00348848,1,0
395,2146,D00348849,1,0
396,2146,D00348850,1,0
397,2146,D00348851,1,0
398,2146,D00348852,1,0
399,2146,D00348853,1,0
400,2146,D00348854,1,0
401,2146,D00348855,1,0
402,2146,D00348856,1,0
403,2146,D00348857,1,0
404,2146,D00348858,1,0
405,2146,D00348859,1,0
406,2146,D00348860,1,0
407,2146,D00348861,1,0
408,2146,D00348862,1,0
409,2146,D00348863,1,0
410,2146,D00348864,1,0
411,2146,D00348865,1,0
412,2146,D00348866,1,0
413,2146,D00348867,1,0
414,2146,D00348868,1,0
415,2146,D00348869,1,0
416,2146,D00348870,1,0
417,2146,D00348871,1,0
418,2146,D00348872,1,0
419,2146,D00348873,1,0
420,2146,D00348874,1,0
421,2146,D00348875,1,0
422,2146,D00348876,1,0
423,2146,D00348877,1,0
424,2146,D00348878,1,0
425,2146,D00348879,1,0
426,2146,D00348880,1,0
427,2146,D00348881,1,0
428,2146,D00348882,1,0
429,2146,D00348883,1,0
430,2146,D00348884,1,0
431,2146,D00348885,1,0
432,2146,D00348886,1,0
433,2146,D00348887,1,0
434,2146,D00348888,1,0
435,2146,D00348889,1,0
436,2146,D00348890,1,0
437,2146,D00348891,1,0
438,2146,D00348892,1,0
439,2146,D00348893,1,0
440,2146,D00348894,1,0
441,2146,D00348895,1,0
442,2146,D00348896,1,0
443,2146,D00348897,1,0
444,2146,D00348898,1,0
445,2146,D00348899,1,0
446,2146,D00348900,1,0
447,2146,D00348901,1,0
448,2146,D00348902,1,0
449,2146,D00348903,1,0
450,2146,D00348904,1,0
451,2146,D00348905,1,0
452,2146,D00348906,1,0
453,2146,D00348907,1,0
454,2146,D00348908,1,0
455,2146,D00348909,1,0
456,2146,D00348910,1,0
457,2146,D00348911,1,0
458,2146,D00348912,1,0
459,2146,D00348913,1,0
460,2146,D00348914,1,0
461,2146,D00348915,1,0
462,2146,D00348916,1,0
463,2146,D00348917,1,0
464,2146,D00348918,1,0
465,2146,D00348919,1,0
466,2146,D00348920,1,0
467,2146,D00348921,1,0
468,2146,D00348922,1,0
469,2146,D00348923,1,0
470,2146,D00348924,1,0
471,2146,D00348925,1,0
472,2146,D00348926,1,0
473,2146,D00348927,1,0
474,2146,D00348928,1,0
475,2146,D00348929,1,0
476,2146,D00348930,1,0
477,2146,D00348931,1,0
478,2146,D00348932,1,0
479,2146,D00348933,1,0
480,2146,D00348934,1,0
481,2146,D00348935,1,0
482,2146,D00348936,1,0
483,2146,D00348937,1,0
484,2146,D00348938,1,0
485,2146,D00348939,1,0
486,2146,D00348940,1,0
487,2146,D00348941,1,0
488,2149,D00348942,1,0
489,2149,D00348943,1,0
490,2149,D00348944,1,0
491,2149,D00348945,1,0
492,2149,D00348946,1,0
493,2149,D00348947,1,0
494,2149,D00348948,1,0
495,2149,D00348949,1,0
496,2149,D00348950,1,0
497,2149,D00348951,1,0
498,2149,D00348952,1,0
499,2149,D00348953,1,0
500,2149,D00348954,1,0
501,2149,D00348955,1,0
502,2149,D00348956,1,0
503,2149,D00348957,1,0
504,2149,D00348958,1,0
505,2149,D00348959,1,0
506,2149,D00348960,1,0
507,2149,D00348961,1,0
508,2149,D00348962,1,0
509,2149,D00348963,1,0
510,2149,D00348964,1,0
511,2149,D00348965,1,0
512,2149,D00348966,1,0
513,2149,D00348967,1,0
514,2149,D00348968,1,0
515,2149,D00348969,1,0
516,2149,D00348970,1,0
517,2149,D00348971,1,0
518,2149,D00348972,1,0
519,2149,D00348973,1,0
520,2149,D00348974,1,0
521,2149,D00348975,1,0
522,2149,D00348976,1,0
523,2149,D00348977,1,0
524,2149,D00348978,1,0
525,2149,D00348979,1,0
526,2149,D00348980,1,0
527,2149,D00348981,1,0
528,2149,D00348982,1,0
529,2149,D00348983,1,0
530,2149,D00348984,1,0
531,2149,D00348985,1,0
532,2149,D00348986,1,0
533,2149,D00348987,1,0
534,2149,D00348988,1,0
535,2149,D00348989,1,0
536,2149,D00348990,1,0
537,2149,D00348991,1,0
538,2149,D00348992,1,0
539,2149,D00348993,1,0
540,2149,D00348994,1,0
541,2149,D00348995,1,0
542,2149,D00348996,1,0
543,2149,D00348997,1,0
544,2149,D00348998,1,0
545,2149,D00348999,1,0
546,2149,D00349000,1,0
547,2149,D00349001,1,0
548,2149,D00349002,1,0
549,2149,D00349003,1,0
550,2149,D00349004,1,0
551,2149,D00349005,1,0
552,2149,D00349006,1,0
553,2149,D00349007,1,0
554,2149,D00349008,1,0
555,2149,D00349009,1,0
556,2149,D00349010,1,0
557,2149,D00349285,1,0
558,2149,D00349286,1,0
559,2149,D00349287,1,0
560,2149,D00349288,1,0
561,2149,D00349289,1,0
562,2149,D00349290,1,0
563,2149,D00349291,1,0
564,2149,D00349292,1,0
565,2149,D00349293,1,0
566,2149,D00349294,1,0
567,2149,D00349295,1,0
568,2149,D00349296,1,0
569,2149,D00349297,1,0
570,2149,D00349298,1,0
571,2149,D00349299,1,0
572,2149,D00349300,1,0
573,2149,D00349301,1,0
574,2149,D00349302,1,0
575,2149,D00349303,1,0
576,2149,D00349304,1,0
577,2149,D00349305,1,0
578,2149,D00349306,1,0
579,2149,D00349307,1,0
580,2149,D00349308,1,0
581,2149,D00349309,1,0
582,2149,D00349310,1,0
583,2149,D00349311,1,0
584,2149,D00349312,1,0
585,2149,D00349313,1,0
586,2149,D00349314,1,0
587,2149,D00349315,1,0
588,2149,D00349316,1,0
589,2149,D00349317,1,0
590,2149,D00349318,1,0
591,2149,D00349319,1,0
592,2149,D00349320,1,0
593,2149,D00349321,1,0
594,2149,D00349322,1,0
595,2149,D00349323,1,0
596,2149,D00349324,1,0
597,2149,D00349325,1,0
598,2149,D00349326,1,0
599,2149,D00349327,1,0
600,2149,D00349328,1,0
601,2149,D00349329,1,0
602,2149,D00349330,1,0
603,2149,D00349331,1,0
604,2149,D00349332,1,0
605,2149,D00349333,1,0
606,2149,D00349334,1,0
607,2149,D00349335,1,0
608,2149,D00349336,1,0
609,2149,D00349337,1,0
610,2149,D00349338,1,0
611,2149,D00349339,1,0
612,2149,D00349340,1,0
613,2149,D00349341,1,0
614,2149,D00349342,1,0
615,2149,D00349343,1,0
616,2149,D00349344,1,0
617,2149,D00349345,1,0
618,2149,D00349346,1,0
619,2149,D00349347,1,0
620,2149,D00349348,1,0
621,2149,D00349349,1,0
622,2149,D00349350,1,0
623,2149,D00349351,1,0
624,2149,D00349352,1,0
625,2149,D00349353,1,0
626,2149,D00349354,1,0
627,2149,D00349355,1,0
628,2149,D00349356,1,0
629,2149,D00349357,1,0
630,2149,D00349358,1,0
631,2149,D00349359,1,0
632,2149,D00349360,1,0
633,2149,D00349361,1,0
634,2149,D00349362,1,0
635,2149,D00349363,1,0
636,2149,D00349364,1,0
637,2149,D00349365,1,0
638,2149,D00349366,1,0
639,2149,D00349367,1,0
640,2149,D00349368,1,0
641,2149,D00349369,1,0
642,2149,D00349370,1,0
643,2149,D00349371,1,0
644,2149,D00349372,1,0
645,2149,D00349373,1,0
646,2149,D00349374,1,0
647,2149,D00349375,1,0
648,2149,D00349376,1,0
649,2149,D00349377,1,0
650,2149,D00349378,1,0
651,2149,D00349379,1,0
652,2149,D00349380,1,0
653,2149,D00349381,1,0
654,2149,D00349382,1,0
655,2149,D00349383,1,0
656,2149,D00349384,1,0
657,2149,D00349385,1,0
658,2149,D00349386,1,0
659,2149,D00349387,1,0
660,2149,D00349388,1,0
661,2149,D00349389,1,0
662,2149,D00349390,1,0
663,2149,D00349391,1,0
664,2149,D00349392,1,0
665,2149,D00349393,1,0
666,2149,D00349394,1,0
667,2149,D00349395,1,0
668,2149,D00349396,1,0
669,2149,D00349397,1,0
670,2149,D00349398,1,0
671,2149,D00349399,1,0
672,2149,D00349400,1,0
673,2149,D00349401,1,0
674,2149,D00349402,1,0
675,2149,D00349403,1,0
676,2149,D00349404,1,0
677,2149,D00349405,1,0
678,2149,D00349406,1,0
679,2149,D00349407,1,0
680,2149,D00349408,1,0
681,2149,D00349409,1,0
682,2149,D00349410,1,0
683,2149,D00349411,1,0
684,2149,D00349412,1,0
685,2149,D00349413,1,0
686,2149,D00349414,1,0
687,2149,D00349415,1,0
688,2149,D00349416,1,0
689,2149,D00349417,1,0
690,2149,D00349418,1,0
691,2149,D00349419,1,0
692,2149,D00349420,1,0
693,2149,D00349421,1,0
694,2149,D00349422,1,0
695,2149,D00349423,1,0
696,2149,D00349424,1,0
697,2149,D00349425,1,0
698,2149,D00349426,1,0
699,2149,D00349427,1,0
700,2149,D00349428,1,0
701,2149,D00349429,1,0
702,2149,D00349430,1,0
703,2149,D00349431,1,0
704,2149,D00349432,1,0
705,2149,D00349433,1,0
706,2149,D00349434,1,0
707,2149,D00349435,1,0
708,2149,D00349436,1,0
709,2149,D00349437,1,0
710,2149,D00349438,1,0
711,2149,D00349439,1,0
712,2149,D00349440,1,0
713,2149,D00349441,1,0
714,2149,D00349442,1,0
715,2149,D00349443,1,0
716,2149,D00349444,1,0
717,2149,D00349445,1,0
718,2149,D00349446,1,0
719,2149,D00349447,1,0
720,2149,D00349448,1,0
721,2149,D00349449,1,0
722,2149,D00349450,1,0
723,2149,D00349451,1,0
724,2149,D00349452,1,0
725,2149,D00349453,1,0
726,2149,D00349454,1,0
727,2149,D00349455,1,0
728,2149,D00349456,1,0
729,2149,D00349457,1,0
730,2149,D00349458,1,0
731,2149,D00349459,1,0
732,2149,D00349744,1,0
733,2149,D00349745,1,0
734,2149,D00349746,1,0
735,2149,D00349747,1,0
736,2149,D00349748,1,0
737,2149,D00349749,1,0
738,2149,D00349750,1,0
739,2149,D00349751,1,0
740,2149,D00349752,1,0
741,2149,D00349753,1,0
742,2149,D00349754,1,0
743,2149,D00349755,1,0
744,2149,D00349756,1,0
745,2149,D00349757,1,0
746,2149,D00349758,1,0
747,2149,D00349759,1,0
748,2149,D00349760,1,0
749,2149,D00349761,1,0
750,2149,D00349762,1,0
751,2149,D00349763,1,0
752,2149,D00349764,1,0
753,2149,D00349765,1,0
754,2149,D00349766,1,0
755,2149,D00349767,1,0
756,2149,D00349768,1,0
757,2149,D00349769,1,0
758,2149,D00349770,1,0
759,2149,D00349771,1,0
760,2149,D00349772,1,0
761,2149,D00349773,1,0
762,2149,D00349774,1,0
763,2149,D00349775,1,0
764,2149,D00349776,1,0
765,2149,D00349777,1,0
766,2149,D00349778,1,0
767,2149,D00349779,1,0
768,2149,D00349780,1,0
769,2149,D00349781,1,0
770,2149,D00349782,1,0
771,2149,D00349783,1,0
772,2149,D00349784,1,0
773,2149,D00349785,1,0
774,2149,D00349786,1,0
775,2149,D00349787,1,0
776,2149,D00349788,1,0
777,2149,D00349789,1,0
778,2149,D00349790,1,0
779,2149,D00349791,1,0
780,2149,D00349792,1,0
781,2149,D00349793,1,0
782,2149,D00349794,1,0
783,2149,D00349795,1,0
784,2149,D00349796,1,0
785,2149,D00349797,1,0
786,2149,D00349798,1,0
787,2149,D00349799,1,0
788,2149,D00349800,1,0
789,2149,D00349801,1,0
790,2149,D00349802,1,0
791,2149,D00349803,1,0
792,2149,D00349804,1,0
793,2149,D00349805,1,0
794,2149,D00349806,1,0
795,2149,D00349807,1,0
796,2149,D00349808,1,0
797,2149,D00349809,1,0
798,2149,D00349810,1,0
799,2149,D00349811,1,0
800,2149,D00349812,1,0
801,2149,D00349813,1,0
802,2149,D00349814,1,0
803,2149,D00349815,1,0
804,2149,D00349816,1,0
805,2149,D00349817,1,0
806,2149,D00349818,1,0
807,2149,D00349819,1,0
808,2149,D00349820,1,0
809,2149,D00349821,1,0
810,2149,D00349822,1,0
811,2149,D00349823,1,0
812,2149,D00349824,1,0
813,2149,D00349825,1,0
814,2149,D00349826,1,0
815,2149,D00349827,1,0
816,2149,D00349828,1,0
817,2149,D00349829,1,0
818,2149,D00349830,1,0
819,2149,D00349831,1,0
820,2149,D00349832,1,0
821,2149,D00349833,1,0
822,2149,D00349834,1,0
823,2149,D00349836,1,0
824,2149,D00349837,1,0
825,2149,D00349838,1,0
826,2149,D00349839,2,0
827,2149,D00349840,1,0
828,2149,D00349841,1,0
829,2149,D00349842,1,0
830,2149,D00349843,1,0
831,2149,D00349844,1,0
832,2149,D00349845,1,0
833,2149,D00349846,1,0
834,2149,D00349847,1,0
835,2149,D00349848,1,0
836,2149,D00349849,1,0
837,2149,D00349850,1,0
838,2149,D00349851,1,0
839,2149,D00349852,1,0
840,2149,D00349853,1,0
841,2149,D00349854,1,0
842,2149,D00349855,1,0
843,2149,D00349856,1,0
844,2149,D00349857,1,0
845,2149,D00349858,1,0
846,2149,D00349859,1,0
847,2149,D00349860,1,0
848,2149,D00349861,1,0
849,2149,D00349862,1,0
850,2149,D00349863,1,0
851,2149,D00349864,1,0
852,2149,D00349865,1,0
853,2149,D00349866,1,0
854,2149,D00349867,1,0
855,2149,D00349868,1,0
856,2149,D00349869,1,0
857,2149,D00349870,1,0
858,2149,D00349871,1,0
859,2149,D00349872,1,0
860,2149,D00349873,1,0
861,2149,D00349874,1,0
862,2149,D00349875,1,0
863,2149,D00349876,1,0
864,2149,D00349877,1,0
865,2149,D00349878,1,0
866,2149,D00349879,1,0
867,2149,D00349880,1,0
868,2149,D00349881,1,0
869,2149,D00349882,1,0
870,2149,D00349883,1,0
871,2149,D00349884,1,0
872,2149,D00349885,1,0
873,2149,D00349886,1,0
874,2149,D00349887,1,0
875,2149,D00349888,1,0
876,2149,D00349889,1,0
877,2149,D00349890,1,0
878,2149,D00349891,1,0
879,2149,D00349892,1,0
880,2149,D00349893,1,0
881,2149,D00349894,1,0
882,2149,D00349895,1,0
883,2149,D00349896,1,0
884,2149,D00349897,1,0
885,2149,D00349898,1,0
886,2149,D00349899,1,0
887,2149,D00349900,1,0
888,2149,D00349901,1,0
889,2149,D00349902,1,0
890,2149,D00349903,1,0
891,2149,D00349904,1,0
892,2149,D00349905,1,0
893,2149,D00349906,1,0
894,2149,D00349907,1,0
895,2149,D00349908,1,0
896,2149,D00349909,1,0
897,2149,D00349910,1,0
898,2149,D00349911,1,0
899,2149,D00349912,1,0
900,2149,D00349913,1,0
901,2149,D00349914,1,0
902,2149,D00349915,1,0
903,2149,D00349916,1,0
904,2149,D00349917,1,0
905,2149,D00349918,1,0
906,2149,D00349919,1,0
907,2149,D00349920,1,0
908,2149,D00349921,1,0
909,2149,D00349922,1,0
910,2149,D00349923,1,0
911,2149,D00350124,1,0
912,2149,D00350125,1,0
913,2149,D00350126,1,0
914,2149,D00350127,1,0
915,2149,D00350128,1,0
916,2149,D00350129,1,0
917,2149,D00350130,1,0
918,2149,D00350131,1,0
919,2149,D00350132,1,0
920,2149,D00350133,1,0
921,2149,D00350134,1,0
922,2149,D00350135,1,0
923,2149,D00350136,1,0
924,2149,D00350137,1,0
925,2149,D00350138,1,0
926,2149,D00350139,1,0
927,2149,D00350140,1,0
928,2149,D00350141,1,0
929,2149,D00350142,1,0
930,2149,D00350143,1,0
931,2149,D00350144,1,0
932,2149,D00350145,1,0
933,2149,D00350146,1,0
934,2149,D00350147,1,0
935,2149,D00350148,1,0
936,2149,D00350149,1,0
937,2149,D00350150,1,0
938,2149,D00350151,1,0
939,2149,D00350152,1,0
940,2149,D00350153,1,0
941,2149,D00350154,1,0
942,2149,D00350155,1,0
943,2149,D00350156,1,0
944,2149,D00350157,1,0
945,2149,D00350158,1,0
946,2149,D00350159,1,0
947,2149,D00350160,1,0
948,2149,D00350161,1,0
949,2149,D00350162,1,0
950,2149,D00350163,1,0
951,2149,D00350164,1,0
952,2149,D00350165,1,0
953,2149,D00350166,1,0
954,2149,D00350167,1,0
955,2149,D00350168,1,0
956,2149,D00350169,1,0
957,2149,D00350170,1,0
958,2149,D00350171,1,0
959,2149,D00350172,1,0
960,2149,D00350173,1,0
961,2149,D00350174,1,0
962,2149,D00350175,1,0
963,2149,D00350176,1,0
964,2149,D00350177,1,0
965,2149,D00350178,1,0
966,2149,D00350179,1,0
967,2149,D00350180,1,0
968,2149,D00350181,1,0
969,2149,D00350182,1,0
970,2149,D00350183,1,0
971,2149,D00350184,1,0
972,2149,D00350185,1,0
973,2149,D00350186,1,0
974,2149,D00350187,1,0
975,2149,D00350188,1,0
976,2149,D00350189,1,0
977,2149,D00350190,1,0
978,2149,D00350191,1,0
979,2149,D00350192,1,0
980,2149,D00350193,1,0
981,2149,D00350194,1,0
982,2149,D00350195,1,0
983,2149,D00350196,1,0
984,2149,D00350197,1,0
985,2149,D00350198,1,0
986,2149,D00350199,1,0
987,2150,D00350200,1,0
988,2150,D00350201,1,0
989,2150,D00350202,1,0
990,2150,D00350203,1,0
991,2150,D00350204,1,0
992,2150,D00350205,1,0
993,2150,D00350206,1,0
994,2150,D00350207,1,0
995,2150,D00350208,1,0
